"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Pdhb",1.09201633409974e-10,0.553720981276588,0.651,0.467,2.52059210236903e-06,"Pdhb"
"Acat2",1.09658194630333e-10,0.842129560711249,0.451,0.284,2.53113044845735e-06,"Acat2"
"Gpi1",1.38686976108679e-10,0.621031896571056,0.56,0.377,3.20117278254054e-06,"Gpi1"
"Ripor2",1.63098863105746e-10,0.691496282911015,0.5,0.32,3.76464795820684e-06,"Ripor2"
"Zdhhc6",2.09183009552653e-10,0.82213064216942,0.487,0.319,4.82836222649433e-06,"Zdhhc6"
"Taldo1",2.26119861860577e-10,0.535181250047883,0.669,0.497,5.21929865146583e-06,"Taldo1"
"Mapk14",2.31234432773618e-10,0.594195260897215,0.633,0.457,5.33735317728066e-06,"Mapk14"
"Apmap",2.48159615150762e-10,-0.738930077592462,0.523,0.627,5.72802023690988e-06,"Apmap"
"Nabp1",2.78929016953219e-10,0.601603859085157,0.732,0.599,6.43823956931421e-06,"Nabp1"
"Dgat2",3.21904089084809e-10,0.35187483978161,0.943,0.899,7.43019018425555e-06,"Dgat2"
"Nfib",3.23297711625456e-10,0.301375334225406,0.984,0.969,7.46235777973877e-06,"Nfib"
"Gprin3",5.50801712064227e-10,1.07244235532264,0.312,0.178,1.27136051178665e-05,"Gprin3"
"Slc22a5",9.94371339415531e-10,-0.655236678720956,0.544,0.658,2.29520792563893e-05,"Slc22a5"
"Slc1a3",1.07270656838952e-09,0.3918948680119,0.917,0.865,2.47602130115669e-05,"Slc1a3"
"Gadd45g",1.35080190633869e-09,-1.23200272821902,0.167,0.312,3.11792096021096e-05,"Gadd45g"
"Il15ra",1.57956386413371e-09,0.389778623200755,0.891,0.805,3.64594931119344e-05,"Il15ra"
"Chd1",1.74785784062855e-09,-0.807924240690261,0.435,0.543,4.03440546773882e-05,"Chd1"
"Slc25a51",1.91332612876582e-09,-0.322177580883322,0.888,0.935,4.41633937041727e-05,"Slc25a51"
"Pkm",1.92711532976873e-09,0.425961098372112,0.766,0.614,4.44816760417219e-05,"Pkm"
"Slc25a17",2.18783097876446e-09,-0.64065216912886,0.464,0.601,5.04995146518413e-05,"Slc25a17"
"Cecr2",2.32606001608933e-09,0.501529822440501,0.771,0.648,5.36901172913739e-05,"Cecr2"
"Bhlhe40",2.35862583396342e-09,0.554802832352496,0.562,0.39,5.44418014995437e-05,"Bhlhe40"
"Nrp2",2.48474989466e-09,-0.479536519601461,0.716,0.795,5.73529970685422e-05,"Nrp2"
"Spsb1",2.73797691396593e-09,0.81127904693964,0.385,0.235,6.31979831281617e-05,"Spsb1"
"Stat5a",3.32635481890849e-09,0.645497056982612,0.492,0.337,7.67789219300459e-05,"Stat5a"
"Dhrs7",3.56273556365622e-09,0.951038201855721,0.292,0.164,8.22350622803129e-05,"Dhrs7"
"Net1",3.84283906581487e-09,0.893704171769797,0.341,0.207,8.87004113171389e-05,"Net1"
"Rhof",4.67660937005414e-09,0.758053087935705,0.354,0.211,0.00010794549747959,"Rhof"
"Trib1",4.76342808411238e-09,-0.939747872813058,0.25,0.392,0.000109949447037482,"Trib1"
"Slc25a42",4.80307092430606e-09,-0.389200232596739,0.885,0.899,0.000110864483074832,"Slc25a42"
"Hadhb",5.14267676347677e-09,-0.336679638662778,0.875,0.893,0.000118703265054571,"Hadhb"
"Osbpl11",8.3617284947164e-09,-0.495547078493603,0.677,0.764,0.000193005417115044,"Osbpl11"
"Scarb2",9.62160239436741e-09,-0.614378949490921,0.583,0.652,0.000222085826466789,"Scarb2"
"1700037H04Rik",1.19010267511124e-08,0.728456766472853,0.378,0.23,0.000274699499469177,"1700037H04Rik"
"Kcnk3",1.19091007952798e-08,-0.481269217904441,0.758,0.816,0.000274885864556649,"Kcnk3"
"Pcyt2",1.71946312115321e-08,0.53507984542167,0.492,0.332,0.000396886477624583,"Pcyt2"
"Strip1",2.07063474425699e-08,0.728874315311499,0.341,0.204,0.000477943911669399,"Strip1"
"Resf1",2.43250921292648e-08,0.461584780790632,0.753,0.629,0.00056147177652769,"Resf1"
"Zc3h6",2.78396497811827e-08,0.585281376897312,0.445,0.29,0.000642594796249259,"Zc3h6"
"Klf9",2.98114891480124e-08,0.493392608274433,0.648,0.492,0.000688108792514422,"Klf9"
"Tbc1d4",3.18042228574344e-08,0.417277321083707,0.807,0.682,0.0007341050719953,"Tbc1d4"
